ID,Label,Type
Burs,Burs,Sub_topic
Plantain,Plantain,Sub_topic
Cuckoo Flowers,Cuckoo Flowers,Sub_topic
Clover,Clover,Sub_topic
Oak,Oak,Sub_topic
Cedar,Cedar,Sub_topic
Elm,Elm,Sub_topic
Sycamore,Sycamore,Sub_topic
Yew,Yew,Sub_topic
Cypress,Cypress,Sub_topic
Pine,Pine,Sub_topic
Aspen,Aspen,Sub_topic
Box,Box,Sub_topic
Willow,Willow,Sub_topic
Palm,Palm,Sub_topic
Olive,Olive,Sub_topic
Myrtle,Myrtle,Sub_topic
Hazel,Hazel,Sub_topic
Laurel,Laurel,Sub_topic
Elder,Elder,Sub_topic
Pomegranate-tree,Pomegranate-tree,Sub_topic
Crab,Crab,Sub_topic
Holly,Holly,Sub_topic
Mistletoe,Mistletoe,Sub_topic
Vine,Vine,Sub_topic
Ivy,Ivy,Sub_topic
Hawthorn,Hawthorn,Sub_topic
Osiers,Osiers,Sub_topic
Briers,Briers,Sub_topic
Heath,Heath,Sub_topic
Strawberry,Strawberry,Sub_topic
Apricots,Apricots,Sub_topic
Grapes,Grapes,Sub_topic
Figs,Figs,Sub_topic
Pears,Pears,Sub_topic
Apples,Apples,Sub_topic
Quince,Quince,Sub_topic
Orange,Orange,Sub_topic
Lemon,Lemon,Sub_topic
Cherries,Cherries,Sub_topic
Mulberry,Mulberry,Sub_topic
Medlars,Medlars,Sub_topic
Blackberry,Blackberry,Sub_topic
Bilberry,Bilberry,Sub_topic
Dewberry,Dewberry,Sub_topic
Nuts,Nuts,Sub_topic
Walnut,Walnut,Sub_topic
Hazel-Nut,Hazel-Nut,Sub_topic
Chestnut,Chestnut,Sub_topic
Prunes,Prunes,Sub_topic
Dates,Dates,Sub_topic
Currants,Currants,Sub_topic
Raisins,Raisins,Sub_topic
Acorn,Acorn,Sub_topic
Berries,Berries,Sub_topic
Potato,Potato,Sub_topic
Cabbage,Cabbage,Sub_topic
Turnips,Turnips,Sub_topic
Parsley,Parsley,Sub_topic
Peascod,Peascod,Sub_topic
Lettuce,Lettuce,Sub_topic
Mushroom,Mushroom,Sub_topic
Samphire,Samphire,Sub_topic
Onion,Onion,Sub_topic
Garlic,Garlic,Sub_topic
Leek,Leek,Sub_topic
Mint,Mint,Sub_topic
Savory,Savory,Sub_topic
Marjoram,Marjoram,Sub_topic
Rue,Rue,Sub_topic
Rosemary,Rosemary,Sub_topic
Fennel,Fennel,Sub_topic
Hyssop And Thyme,Hyssop And Thyme,Sub_topic
Balm,Balm,Sub_topic
Nutmeg,Nutmeg,Sub_topic
Clove,Clove,Sub_topic
Ginger,Ginger,Sub_topic
Mace,Mace,Sub_topic
Saffron,Saffron,Sub_topic
Pepper,Pepper,Sub_topic
Mustard,Mustard,Sub_topic
Rhubarb and Senna,Rhubarb and Senna,Sub_topic
Poppy And Mandragora,Poppy And Mandragora,Sub_topic
Hebenon,Hebenon,Sub_topic
Gum,Gum,Sub_topic
"Coloquintida, Locusts","Coloquintida, Locusts",Sub_topic
Corn,Corn,Sub_topic
Wheat,Wheat,Sub_topic
Barley,Barley,Sub_topic
Oats,Oats,Sub_topic
Rye,Rye,Sub_topic
Vetches,Vetches,Sub_topic
Peas,Peas,Sub_topic
Flax,Flax,Sub_topic
Rice,Rice,Sub_topic
Ostrich,Ostrich,Sub_topic
Peacock,Peacock,Sub_topic
Parrot,Parrot,Sub_topic
Eagle,Eagle,Sub_topic
Vulture,Vulture,Sub_topic
Falcon,Falcon,Sub_topic
Hawk,Hawk,Sub_topic
Haggard,Haggard,Sub_topic
Eyas,Eyas,Sub_topic
Eyas-Musket,Eyas-Musket,Sub_topic
Coystril,Coystril,Sub_topic
Puttock,Puttock,Sub_topic
Owl,Owl,Sub_topic
Chough,Chough,Sub_topic
Crow,Crow,Sub_topic
Raven,Raven,Sub_topic
Rook,Rook,Sub_topic
Kite,Kite,Sub_topic
Daw,Daw,Sub_topic
Jay,Jay,Sub_topic
Pheasant,Pheasant,Sub_topic
Partridge,Partridge,Sub_topic
Quail,Quail,Sub_topic
Woodcock,Woodcock,Sub_topic
Pigeon,Pigeon,Sub_topic
Dove,Dove,Sub_topic
Nightingale,Nightingale,Sub_topic
Lark,Lark,Sub_topic
Robin,Robin,Sub_topic
Thrush (Throstle),Thrush (Throstle),Sub_topic
Ousel-cock,Ousel-cock,Sub_topic
Cuckoo,Cuckoo,Sub_topic
Lapwing,Lapwing,Sub_topic
Finch,Finch,Sub_topic
Swallow,Swallow,Sub_topic
Martlet,Martlet,Sub_topic
Hedge Sparrow,Hedge Sparrow,Sub_topic
Sparrow,Sparrow,Sub_topic
Wren,Wren,Sub_topic
Swan,Swan,Sub_topic
Osprey,Osprey,Sub_topic
Handsaw (Heron),Handsaw (Heron),Sub_topic
Pelican,Pelican,Sub_topic
Gull,Gull,Sub_topic
Scamel (Sea-mell),Scamel (Sea-mell),Sub_topic
Mallard,Mallard,Sub_topic
Wild-fowl,Wild-fowl,Sub_topic
Wild Goose,Wild Goose,Sub_topic
Goose,Goose,Sub_topic
Gosling,Gosling,Sub_topic
Duck,Duck,Sub_topic
Turkey,Turkey,Sub_topic
Cock,Cock,Sub_topic
Hen,Hen,Sub_topic
Chicken,Chicken,Sub_topic
Fowl,Fowl,Sub_topic
Horse,Horse,Sub_topic
Dog,Dog,Sub_topic
Ass,Ass,Sub_topic
Mule,Mule,Sub_topic
Bull,Bull,Sub_topic
Ox,Ox,Sub_topic
Cow,Cow,Sub_topic
Heifer,Heifer,Sub_topic
Calf,Calf,Sub_topic
Ram,Ram,Sub_topic
Sheep,Sheep,Sub_topic
Lamb,Lamb,Sub_topic
Goat,Goat,Sub_topic
Pig,Pig,Sub_topic
Hog,Hog,Sub_topic
Boar,Boar,Sub_topic
Stag,Stag,Sub_topic
Hind,Hind,Sub_topic
Deer,Deer,Sub_topic
Buck,Buck,Sub_topic
Doe,Doe,Sub_topic
Fawn,Fawn,Sub_topic
Hart,Hart,Sub_topic
Roe,Roe,Sub_topic
Fox,Fox,Sub_topic
Hare,Hare,Sub_topic
Rabbit,Rabbit,Sub_topic
Coney,Coney,Sub_topic
Squirrel,Squirrel,Sub_topic
Mole,Mole,Sub_topic
Weasel,Weasel,Sub_topic
Ferret,Ferret,Sub_topic
Hedgehog,Hedgehog,Sub_topic
Cat,Cat,Sub_topic
Rat,Rat,Sub_topic
Mouse,Mouse,Sub_topic
Elephant,Elephant,Sub_topic
Camel,Camel,Sub_topic
Lion,Lion,Sub_topic
Lioness,Lioness,Sub_topic
Tiger,Tiger,Sub_topic
"Leopard, Libbard, Pard","Leopard, Libbard, Pard",Sub_topic
Panther,Panther,Sub_topic
Hyena,Hyena,Sub_topic
Rhinoceros,Rhinoceros,Sub_topic
Unicorn,Unicorn,Sub_topic
Bear,Bear,Sub_topic
Wolf,Wolf,Sub_topic
Porcupine,Porcupine,Sub_topic
Monkey,Monkey,Sub_topic
Ape,Ape,Sub_topic
Baboon,Baboon,Sub_topic
Marmozet,Marmozet,Sub_topic
"Polecat, Muskcat, Fitchew","Polecat, Muskcat, Fitchew",Sub_topic
Fish,Fish,Sub_topic
Trout,Trout,Sub_topic
Cod,Cod,Sub_topic
Herring,Herring,Sub_topic
Pilchard,Pilchard,Sub_topic
Poor John,Poor John,Sub_topic
Eel,Eel,Sub_topic
Gudgeon,Gudgeon,Sub_topic
Carp,Carp,Sub_topic
Oyster,Oyster,Sub_topic
Shrimp,Shrimp,Sub_topic
Mussel,Mussel,Sub_topic
Barnacle,Barnacle,Sub_topic
Whale,Whale,Sub_topic
Shark,Shark,Sub_topic
Porpus,Porpus,Sub_topic
Minnow,Minnow,Sub_topic
Crocodile,Crocodile,Sub_topic
Tortoise,Tortoise,Sub_topic
Alligator,Alligator,Sub_topic
Cameleon,Cameleon,Sub_topic
Lizard,Lizard,Sub_topic
"Bat,Raremouse","Bat,Raremouse",Sub_topic
Toad,Toad,Sub_topic
Paddock,Paddock,Sub_topic
Frog,Frog,Sub_topic
Serpent,Serpent,Sub_topic
Adder,Adder,Sub_topic
Snake,Snake,Sub_topic
Scorpion,Scorpion,Sub_topic
Viper,Viper,Sub_topic
Newt,Newt,Sub_topic
Blind-Worm,Blind-Worm,Sub_topic
Worm,Worm,Sub_topic
Asp,Asp,Sub_topic
Snail,Snail,Sub_topic
Slug,Slug,Sub_topic
Bee,Bee,Sub_topic
Humble Bee,Humble Bee,Sub_topic
Drone,Drone,Sub_topic
Wasp,Wasp,Sub_topic
Ant,Ant,Sub_topic
Butterfly,Butterfly,Sub_topic
Moth,Moth,Sub_topic
Grasshopper,Grasshopper,Sub_topic
Glow-Worm,Glow-Worm,Sub_topic
Spider,Spider,Sub_topic
Gnat,Gnat,Sub_topic
Cricket,Cricket,Sub_topic
Beetle,Beetle,Sub_topic
Fly,Fly,Sub_topic
Flea,Flea,Sub_topic
"Caterpillar, Canker","Caterpillar, Canker",Sub_topic
Grub,Grub,Sub_topic
